,Qustion,Option1,Option2,Option3,Option4,Answer
46,47.	How do you capitalize the first letter of each word in CSS?, text-transform: capitalize;, text-style: capitalize;, font-variant: capitalize;, text-transform: uppercase;,a
47,48. How do you make text bold in CSS? , font-weight: bold; , text-weight: bold; , font-style: bold; , text-style: bold; ,a
48,49.	How do you set the color of the text?, color: #000;, font-color: #000;, text-color: #000;, font-style: #000;,a
49,50.	How do you align text to the right in CSS?, text-align: right;, text-align: left;, text-align: center;, text-align: justify;,a
50,"51. What does ""responsive design"" mean? ", A design that adjusts to different screen sizes , A design that looks the same on all devices , A design that loads faster on mobile , A design that uses only HTML and CSS ,a
51,52.	What is a media query in CSS?, A technique to apply styles based on device characteristics, A technique to fetch media files, A method to style HTML media elements, A method to query media files,a
52,53. How do you write a media query for devices with a max-width of 600px? , @media (max-width: 600px) { } , @media only screen and (max-width: 600px) { } , @media screen and (max-width: 600px) { } , @media (min-width: 600px) { } ,a
53,54.	How do you make an element take up 100% of the width of its container?, width: 100%;, width: auto;, width: full;, width: inherit;,a
54,55.	How do you ensure that an image scales with the screen size?, max-width: 100%; height: auto;, width: 100%;, height: auto;, width: 100%; height: 100%;,a
55,56. Which CSS unit is relative to the width of the viewport? , vw , vh , % , em ,a
56,57.	What is the purpose of the viewport meta tag?, To control the layout on mobile browsers, To scale images on desktop browsers, To define the color scheme of a page, To set the background of a page,a
57,58. How do you create a responsive grid layout in CSS? ," display: grid; grid-template-columns: repeat(auto-fit, minmax(100px, 1fr)); ", display: grid; grid-template-columns: 1fr 1fr; , display: grid; grid-template-columns: 100px 100px; , display: grid; grid-template-rows: auto; ,a
58,59.	How do you hide an element on screens smaller than 768px?, @media (max-width: 768px) { display: none; }, @media (min-width: 768px) { display: none; }, @media (max-width: 768px) { visibility: hidden; }, @media (min-width: 768px) { visibility: hidden; },a
59,60.	How do you create a flexible image gallery using Flexbox?, display: flex; flex-wrap: wrap;, display: block; float: left;, display: grid;, display: inline-block;,a
60,61. Which CSS property is used to create an animation? , animation , transition , transform , keyframes ,a
61,62.	What is the purpose of @keyframes in CSS?, To define the steps in an animation, To set the timing of an animation, To control the speed of a transition, To apply styles to hover states,a
62,63. How do you apply a 2-second fade-in effect to an element? , animation: fadein 2s; , transition: opacity 2s; , transition: fadein 2s; , animation: opacity 2s; ,b
63,64.	How do you move an element from left to right using CSS animations?, @keyframes move { from { left: 0; } to { left: 100%; } }, @keyframes move { from { left: 0; } to { left: 100px; } }, @keyframes move { 0% { left: 0; } 100% { left: 100%; } }, @keyframes move { 0% { left: 0; } 100% { left: 100px; } },c
64,65.	Which property allows you to delay the start of an animation?, animation-delay, transition-delay, animation-duration, transition-duration,a
65,66. What is the difference between animation and transition in CSS? , animation allows more complex movements than transition ," transition allows looping, but animation does not "," animation requires user interaction, while transition does not "," transition supports keyframes, but animation does not ",a
66,67.	Which CSS property can you use to change the timing function of an animation?, animation-timing-function, transition-timing-function, animation-duration, transition-duration,a
67,68. How do you apply a hover effect that scales an element by 1.2 times? , transition: transform 0.3s; &:hover { transform: scale(1.2); }, animation: transform 0.3s; &:hover { transform: scale(1.2); } , transform: scale(1.2); &:hover { animation: scale 0.3s; } , scale: 1.2; &:hover { transform: 1.2; } ,a
68,69.	How do you rotate an element by 45 degrees using CSS?, transform: rotate(45deg);, animation: rotate(45deg);, transition: rotate(45deg);, rotate: 45deg;,a
69,70.	How do you create a bouncing effect with CSS animations?," @keyframes bounce { 0%, 100% { transform: translateY(0); } 50% { transform: translateY(-20px); } }", @keyframes bounce { 0% { transform: translateY(0); } 50% { transform: translateY(-20px); } 100% { transform: translateY(0); } }, @keyframes bounce { from { transform: translateY(0); } to { transform: translateY(-20px); } }, @keyframes bounce { 0% { transform: translateY(-20px); } 100% { transform: translateY(0); } },a
70,71. What is the purpose of the !important rule in CSS? , To override all other declarations for that property , To prioritize user agent styles , To prevent the property from being inherited , To apply the style only in print view ,a
71,72.	Which CSS feature allows you to define variables?, CSS Variables (Custom Properties), SASS Variables, CSS Functions, Inline Styles,a
72,73. How do you define a CSS variable? , --main-color: #333; , var-main-color: #333; , $main-color: #333; , #main-color: #333; ,a
73,74.	How do you use a CSS variable?, color: var(--main-color);, color: --main-color;, color: $main-color;, color: #main-color;,a
74,75.	Which CSS property can be used to create a grid layout?, display: grid;, display: block;, display: flex;, display: inline-block;,a
75,76. Which CSS feature allows you to create reusable styles across multiple elements? , CSS Classes , CSS IDs , CSS Variables , Inline Styles ,a
76,77.	What is the purpose of the calc() function in CSS?, To perform calculations to determine CSS property values, To concatenate strings in CSS, To apply conditionals in CSS, To define animations in CSS,a
77,78. How do you create a responsive grid using CSS Grid? ," grid-template-columns: repeat(auto-fit, minmax(200px, 1fr)); ", grid-template-columns: 1fr 1fr; , grid-template-columns: 200px 200px; , grid-template-columns: auto; ,a
78,79.	How do you apply a style only when the screen width is between 600px and 800px?, @media (min-width: 600px) and (max-width: 800px) { }, @media (max-width: 600px) and (min-width: 800px) { }, @media (min-width: 600px) or (max-width: 800px) { }, @media (width: 600px) and (width: 800px) { },a
79,81. What does the :hover pseudo-class do?, Applies styles when an element is being hovered by the mouse, Applies styles when an element is clicked, Applies styles when an element is focused, Applies styles when an element is visited,a
80,Which pseudo-class would you use to style the first child element of a parent?, :first-child, :nth-child(1), :first-of-type, :only-child,a
81,83. How do you apply a style to every odd-numbered list item?, li:nth-child(odd), li:nth-of-type(odd), li:nth-child(2n+1), li:nth-of-type(2n+1),c
82,How do you select the last element of a specific type in CSS?, :last-of-type, :last-child, :nth-last-child(1), :nth-of-type(1),a
83,Which pseudo-element would you use to insert content before an element?, ::before, ::after, ::first-letter, ::first-line,a
84,86. What is the difference between :first-child and :nth-child(1)?," No difference, they select the same element", :first-child is more specific than :nth-child(1)," :first-child selects the first child regardless of type, while :nth-child(1) only selects the first child of a specific type", :nth-child(1) is a newer syntax for :first-child,c
85,"Which pseudo-class is used to style elements based on their state, like ""enabled"" or ""disabled""?", :disabled, :active, :focus, :enabled,d
86,88. How do you style the first letter of a paragraph in CSS?, p::first-letter { }, p:first-letter { }, p::first-line { }, p:first-line { },a
87,How do you select and style every third paragraph in a document?, p:nth-of-type(3n) { }, p:nth-child(3) { }, p:nth-of-type(3) { }, p:nth-child(3n) { },a
88,Which pseudo-element is used to apply styles to the first line of a block of text?, ::first-line, ::first-letter, ::before, ::after,a
89,91. Which rule has the highest specificity?, #id, .class, element, *,a
90,What does CSS inheritance mean?, Child elements automatically receive certain properties from their parent elements, Parent elements receive properties from their child elements, All elements receive properties from the body element, Inherited properties cannot be overridden,a
91,93. How do you override a style applied by a parent element?, By applying a more specific selector, By using the !important keyword, By using inline styles, All of the above,d
92,Which has higher specificity: a class selector or an attribute selector?, Class selector, Attribute selector, Both have the same specificity, It depends on the browser,a
93,"How do you select an element with both class ""header"" and id ""main""?", #main.header, .header#main, #main .header, .header #main,a
94,96. What happens if two selectors have the same specificity but conflicting styles?, The style defined later in the CSS file will be applied, The style defined first in the CSS file will be applied, Both styles will be applied, Neither style will be applied,a
95,Which of the following is NOT considered when calculating CSS specificity?, The order of the rules in the CSS file, The number of classes in the selector, The number of IDs in the selector, The number of elements in the selector,a
96,98. How do you apply a style to all paragraphs except those with a specific class?, p:not(.class) { }, p .class { }, p.exclude-class { }, p !class { },a
97,Which selector has the highest specificity?, #content p, .nav-item a, div > .content, a:hover,a
98,What is the correct order of specificity from lowest to highest? , element < class < id , class < id < element , id < element < class , element < id < class ,
